Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,Team,Deleted,Season,Race
HAM,94.01,1.0,1.0,,37.157,24.87,MEDIUM,Mercedes,False,2020,Great Britain
LAT,105.776,1.0,1.0,,41.922,27.344,MEDIUM,Williams,False,2020,Great Britain
VET,128.656,1.0,1.0,,44.097,31.519,WET,Ferrari,False,2020,Turkey
RAI,104.681,1.0,1.0,,41.16,27.496,MEDIUM,Alfa Romeo Racing,False,2020,Great Britain
KVY,80.36,1.0,1.0,,34.261,23.512,MEDIUM,AlphaTauri,False,2020,Austria
PER,107.446,1.0,1.0,,35.04,32.853,SOFT,Racing Point,False,2020,Portugal
RAI,98.918,1.0,1.0,,36.988,29.436,SOFT,Alfa Romeo Racing,False,2020,Portugal
RUS,81.596,1.0,1.0,,34.122,23.774,MEDIUM,Williams,False,2020,Austria
HAM,131.904,1.0,1.0,,46.571,33.849,WET,Mercedes,False,2020,Turkey
RIC,78.766,1.0,1.0,,33.548,23.173,SOFT,Renault,False,2020,Austria
OCO,80.678,1.0,1.0,,34.139,23.657,MEDIUM,Renault,False,2020,Austria
SAI,101.86,1.0,1.0,,42.35,24.562,SOFT,McLaren,False,2020,Germany
VET,103.478,1.0,1.0,,42.164,25.218,MEDIUM,Ferrari,False,2020,Germany
SAI,98.652,1.0,1.0,,38.976,26.052,SOFT,McLaren,False,2020,Great Britain
SAI,135.726,1.0,1.0,,45.796,32.999,WET,McLaren,False,2020,Turkey
VET,101.375,1.0,1.0,,40.826,26.369,SOFT,Ferrari,False,2020,Great Britain
NOR,100.311,1.0,1.0,,41.613,24.252,SOFT,McLaren,False,2020,Germany
GRO,104.267,1.0,1.0,,40.405,26.837,MEDIUM,Haas F1 Team,False,2020,Great Britain
BOT,95.364,1.0,1.0,,37.3,25.097,MEDIUM,Mercedes,False,2020,Great Britain
ALB,75.104,1.0,1.0,,32.211,21.871,SOFT,Red Bull Racing,False,2020,Austria
SAI,167.457,1.0,1.0,,80.785,45.471,SOFT,McLaren,False,2020,Bahrain
MAG,79.587,1.0,1.0,,33.6,23.22,MEDIUM,Haas F1 Team,False,2020,Austria
STR,77.583,1.0,1.0,,33.034,22.606,SOFT,Racing Point,False,2020,Austria
GIO,103.369,1.0,1.0,,40.404,27.008,MEDIUM,Alfa Romeo Racing,False,2020,Great Britain
OCO,153.513,1.0,1.0,,54.105,40.503,WET,Renault,False,2020,Turkey
LAT,177.4,1.0,1.0,,83.272,51.112,HARD,Williams,False,2020,Bahrain
STR,88.83,1.0,1.0,,31.797,29.041,SOFT,Racing Point,False,2020,Spain
VER,129.685,1.0,1.0,,44.477,31.805,WET,Red Bull Racing,False,2020,Turkey
VET,174.756,1.0,1.0,,82.943,49.479,MEDIUM,Ferrari,False,2020,Bahrain
RUS,105.216,1.0,1.0,,40.47,27.515,MEDIUM,Williams,False,2020,Great Britain
HAM,95.032,1.0,1.0,,38.81,23.875,SOFT,Mercedes,False,2020,Germany
GAS,92.988,1.0,1.0,,33.398,30.183,SOFT,AlphaTauri,False,2020,Spain
GRO,95.429,1.0,1.0,,31.806,29.865,MEDIUM,Haas F1 Team,False,2020,Italy
LAT,97.259,1.0,1.0,,32.536,30.318,MEDIUM,Williams,False,2020,Italy
PER,89.372,1.0,1.0,,30.7,28.443,SOFT,Racing Point,False,2020,Italy
GRO,98.499,1.0,1.0,,34.864,31.765,MEDIUM,Haas F1 Team,False,2020,Spain
RUS,96.445,1.0,1.0,,32.252,30.206,MEDIUM,Williams,False,2020,Italy
RAI,93.635,1.0,1.0,,31.092,29.808,MEDIUM,Alfa Romeo Racing,False,2020,Italy
GIO,94.388,1.0,1.0,,31.459,29.592,MEDIUM,Alfa Romeo Racing,False,2020,Italy
ALB,94.938,1.0,1.0,,32.205,29.836,SOFT,Red Bull Racing,False,2020,Italy
BOT,102.397,1.0,1.0,,35.45,26.469,INTERMEDIATE,Mercedes,False,2020,Hungary
KVY,80.36,1.0,1.0,,34.261,23.512,MEDIUM,AlphaTauri,False,2020,Austria
