Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,Team,Deleted,Season,Race
LAW,110.452,1.0,1.0,,30.748,42.908,SOFT,AlphaTauri,False,2023,Netherlands
GAS,109.649,1.0,1.0,,46.78,25.135,SOFT,Alpine,False,2023,Bahrain
PER,133.14,1.0,1.0,,68.271,39.585,SOFT,Red Bull Racing,False,2023,Brazil
HUL,93.589,1.0,1.0,,32.518,24.382,MEDIUM,Haas F1 Team,False,2023,Hungary
STR,114.949,1.0,1.0,,41.474,33.718,HARD,Aston Martin,False,2023,United States
ALB,89.175,1.0,1.0,,26.375,31.993,MEDIUM,Williams,False,2023,Canada
VER,85.653,1.0,1.0,,32.464,21.265,MEDIUM,Red Bull Racing,False,2023,Mexico
LEC,103.482,1.0,1.0,,41.021,33.83,MEDIUM,Ferrari,False,2023,United States
STR,120.096,1.0,1.0,,51.884,30.668,MEDIUM,Aston Martin,False,2023,Belgium
VER,87.912,1.0,1.0,,30.37,23.495,MEDIUM,Red Bull Racing,False,2023,Hungary
SAI,85.014,1.0,1.0,,32.553,24.119,SOFT,Ferrari,False,2023,Spain
GAS,92.369,1.0,1.0,,32.778,36.464,MEDIUM,Alpine,False,2023,Austria
HAM,88.585,1.0,1.0,,38.83,21.942,MEDIUM,Mercedes,False,2023,Monaco
NOR,92.034,1.0,1.0,,39.59,22.151,MEDIUM,McLaren,False,2023,Monaco
OCO,95.655,1.0,1.0,,32.271,29.923,MEDIUM,Alpine,False,2023,Italy
ALO,112.441,1.0,1.0,,40.749,34.387,MEDIUM,Aston Martin,False,2023,United States
STR,99.093,1.0,1.0,,30.101,30.336,MEDIUM,Aston Martin,False,2023,Saudi Arabia
TSU,120.627,1.0,1.0,,32.149,49.088,MEDIUM,AlphaTauri,False,2023,Qatar
LEC,93.119,1.0,1.0,,38.434,33.924,MEDIUM,Ferrari,False,2023,Abu Dhabi
SAI,87.39,1.0,1.0,,38.45,21.607,HARD,Ferrari,False,2023,Monaco
OCO,116.609,1.0,1.0,,31.441,46.773,MEDIUM,Alpine,False,2023,Qatar
LEC,103.306,1.0,1.0,,31.542,30.391,SOFT,Ferrari,False,2023,Saudi Arabia
OCO,121.887,1.0,1.0,,51.868,30.867,SOFT,Alpine,False,2023,Belgium
GAS,110.293,1.0,1.0,,18.89,53.173,SOFT,Alpine,False,2023,Australia
PIA,107.254,1.0,1.0,,31.81,34.34,MEDIUM,McLaren,False,2023,Saudi Arabia
RUS,94.41,1.0,1.0,,33.516,37.68,MEDIUM,Mercedes,False,2023,Austria
HUL,151.032,1.0,1.0,,72.31,43.33,SOFT,Haas F1 Team,False,2023,Brazil
LEC,100.23,1.0,1.0,,42.549,24.122,SOFT,Ferrari,False,2023,Bahrain
TSU,109.276,1.0,1.0,,27.63,48.482,MEDIUM,AlphaTauri,False,2023,Canada
NOR,123.324,1.0,1.0,,51.197,35.256,MEDIUM,McLaren,False,2023,Japan
HUL,123.27,1.0,1.0,,52.068,30.0,MEDIUM,Haas F1 Team,False,2023,Belgium
BOT,102.022,1.0,1.0,,33.721,44.055,HARD,Alfa Romeo,False,2023,Austria
ZHO,146.873,1.0,1.0,,71.207,45.316,SOFT,Alfa Romeo,False,2023,Brazil
VER,101.571,1.0,1.0,,18.707,46.357,MEDIUM,Red Bull Racing,False,2023,Australia
PIA,90.315,1.0,1.0,,30.703,28.748,MEDIUM,McLaren,False,2023,Italy
PER,90.355,1.0,1.0,,34.725,25.147,MEDIUM,Red Bull Racing,False,2023,Spain
NOR,91.513,1.0,1.0,,31.119,28.885,MEDIUM,McLaren,False,2023,Italy
LEC,87.23,1.0,1.0,,33.673,21.386,MEDIUM,Ferrari,False,2023,Mexico
ALO,118.27,1.0,1.0,,51.17,30.448,MEDIUM,Aston Martin,False,2023,Belgium
STR,96.812,1.0,1.0,,34.298,22.429,MEDIUM,Aston Martin,False,2023,Mexico
SAR,100.584,1.0,1.0,,33.876,42.926,MEDIUM,Williams,False,2023,Austria
SAR,131.454,1.0,1.0,,18.82,71.597,HARD,Williams,False,2023,Australia
LEC,115.203,1.0,1.0,,31.149,45.982,MEDIUM,Ferrari,False,2023,Qatar
ALO,88.039,1.0,1.0,,33.951,24.489,SOFT,Aston Martin,False,2023,Spain
HUL,92.72,1.0,1.0,,31.435,29.179,MEDIUM,Haas F1 Team,False,2023,Italy
OCO,135.909,1.0,1.0,,69.072,40.567,SOFT,Alpine,False,2023,Brazil
ZHO,105.239,1.0,1.0,,40.598,27.092,MEDIUM,Alfa Romeo,False,2023,Great Britain
PIA,108.214,1.0,1.0,,45.783,24.952,SOFT,McLaren,False,2023,Bahrain
VER,109.827,1.0,1.0,,45.712,28.852,HARD,Red Bull Racing,False,2023,Singapore
ALO,105.543,1.0,1.0,,18.868,49.346,MEDIUM,Aston Martin,False,2023,Australia
ALO,113.076,1.0,1.0,,30.916,44.814,MEDIUM,Aston Martin,False,2023,Qatar
STR,108.052,1.0,1.0,,19.292,50.986,MEDIUM,Aston Martin,False,2023,Australia
BOT,142.202,1.0,1.0,,72.425,42.061,SOFT,Alfa Romeo,False,2023,Brazil
VER,105.222,1.0,1.0,,31.408,31.152,MEDIUM,Red Bull Racing,False,2023,Saudi Arabia
LAW,130.307,1.0,1.0,,39.035,49.63,SOFT,AlphaTauri,False,2023,Qatar
HUL,99.291,1.0,1.0,,40.214,35.55,MEDIUM,Haas F1 Team,False,2023,Abu Dhabi
GAS,108.429,1.0,1.0,,41.792,35.191,MEDIUM,Alpine,False,2023,United States
STR,85.739,1.0,1.0,,32.697,24.197,SOFT,Aston Martin,False,2023,Spain
PER,97.257,1.0,1.0,,29.964,30.233,MEDIUM,Red Bull Racing,False,2023,Saudi Arabia
NOR,96.551,1.0,1.0,,37.869,25.971,MEDIUM,McLaren,False,2023,Great Britain
PER,132.096,1.0,1.0,,18.735,69.69,HARD,Red Bull Racing,False,2023,Australia
OCO,102.516,1.0,1.0,,40.549,26.555,SOFT,Alpine,False,2023,Great Britain
RUS,94.776,1.0,1.0,,38.868,34.232,MEDIUM,Mercedes,False,2023,Abu Dhabi
GAS,102.172,1.0,1.0,,30.518,30.388,MEDIUM,Alpine,False,2023,Saudi Arabia
ALO,96.851,1.0,1.0,,30.025,30.604,MEDIUM,Aston Martin,False,2023,Saudi Arabia
HUL,122.98,1.0,1.0,,32.936,49.804,MEDIUM,Haas F1 Team,False,2023,Qatar
STR,91.378,1.0,1.0,,32.602,35.806,MEDIUM,Aston Martin,False,2023,Austria
STR,97.074,1.0,1.0,,29.907,32.066,SOFT,Aston Martin,False,2023,Netherlands
