Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,Team,Deleted,Season,Race,rolling_mean,rolling_variance
HAM,87.553,48.0,2.0,17.62,37.444,32.489,HARD,Mercedes,False,2021,Abu Dhabi,87.2984,0.10038530000024481
HAM,86.875,49.0,2.0,17.724,37.522,31.629,HARD,Mercedes,False,2021,Abu Dhabi,87.26939999999999,0.1247743000002436
HAM,86.784,50.0,2.0,17.629,37.369,31.786,HARD,Mercedes,False,2021,Abu Dhabi,87.233,0.1590085000002403
HAM,86.934,51.0,2.0,17.711,37.544,31.679,HARD,Mercedes,False,2021,Abu Dhabi,87.16579999999999,0.17537170000023958
HAM,86.833,52.0,2.0,17.608,37.407,31.818,HARD,Mercedes,False,2021,Abu Dhabi,86.9958,0.10006170000023376
HAM,98.574,53.0,2.0,17.669,37.336,43.569,HARD,Mercedes,False,2021,Abu Dhabi,89.2,27.463000500000295
HAM,142.911,54.0,2.0,20.441,63.942,58.528,HARD,Mercedes,False,2021,Abu Dhabi,100.4072,590.3278097000007
HAM,145.761,56.0,2.0,30.973,59.223,55.565,HARD,Mercedes,False,2021,Abu Dhabi,112.2026,884.2573823000009
HAM,148.331,57.0,2.0,28.439,62.795,57.097,HARD,Mercedes,False,2021,Abu Dhabi,124.48200000000001,862.467587000001
HAM,89.33,58.0,2.0,17.662,38.725,32.943,HARD,Mercedes,False,2021,Abu Dhabi,124.98139999999998,816.709812300001
