Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,Team,Deleted,Season,Race,rolling_mean,rolling_variance
HAM,87.979,24.0,2.0,17.818,37.815,32.346,HARD,Mercedes,False,2021,Abu Dhabi,87.8634,0.03358829999971451
HAM,87.979,24.0,2.0,17.818,37.815,32.346,HARD,Mercedes,False,2021,Abu Dhabi,87.858,0.03180899999971473
HAM,87.87,25.0,2.0,17.823,37.765,32.282,HARD,Mercedes,False,2021,Abu Dhabi,87.8308,0.025444199999714125
HAM,87.87,25.0,2.0,17.823,37.765,32.282,HARD,Mercedes,False,2021,Abu Dhabi,87.87219999999999,0.016646699999715475
HAM,88.077,26.0,2.0,17.834,38.107,32.136,HARD,Mercedes,False,2021,Abu Dhabi,87.955,0.007621499999715961
HAM,88.077,26.0,2.0,17.834,38.107,32.136,HARD,Mercedes,False,2021,Abu Dhabi,87.9746,0.010718299999716045
HAM,87.975,27.0,2.0,17.837,37.78,32.358,HARD,Mercedes,False,2021,Abu Dhabi,87.97380000000001,0.01071269999971604
HAM,87.975,27.0,2.0,17.837,37.78,32.358,HARD,Mercedes,False,2021,Abu Dhabi,87.9948,0.007468199999716624
HAM,88.143,28.0,2.0,17.893,37.785,32.465,HARD,Mercedes,False,2021,Abu Dhabi,88.04939999999999,0.005338799999717515
HAM,88.143,28.0,2.0,17.893,37.785,32.465,HARD,Mercedes,False,2021,Abu Dhabi,88.0626,0.00712079999971791
HAM,87.484,29.0,2.0,17.802,37.703,31.979,HARD,Mercedes,False,2021,Abu Dhabi,87.94399999999999,0.07318099999971561
HAM,87.484,29.0,2.0,17.802,37.703,31.979,HARD,Mercedes,False,2021,Abu Dhabi,87.84580000000001,0.11378669999971347
HAM,87.508,30.0,2.0,17.714,37.633,32.161,HARD,Mercedes,False,2021,Abu Dhabi,87.7524,0.1272362999997101
HAM,87.508,30.0,2.0,17.714,37.633,32.161,HARD,Mercedes,False,2021,Abu Dhabi,87.6254,0.08386579999970455
HAM,87.495,31.0,2.0,17.788,37.728,31.979,HARD,Mercedes,False,2021,Abu Dhabi,87.4958,0.00014419999969941748
HAM,87.495,31.0,2.0,17.788,37.728,31.979,HARD,Mercedes,False,2021,Abu Dhabi,87.498,0.00010349999969943666
HAM,87.444,32.0,2.0,17.757,37.702,31.985,HARD,Mercedes,False,2021,Abu Dhabi,87.49,0.0007034999996992388
HAM,87.444,32.0,2.0,17.757,37.702,31.985,HARD,Mercedes,False,2021,Abu Dhabi,87.4772,0.0009466999996991909
HAM,87.742,33.0,2.0,17.642,37.863,32.237,HARD,Mercedes,False,2021,Abu Dhabi,87.524,0.015501499999699879
HAM,87.742,33.0,2.0,17.642,37.863,32.237,HARD,Mercedes,False,2021,Abu Dhabi,87.5734,0.02412179999970002
HAM,87.201,34.0,2.0,17.747,37.458,31.996,HARD,Mercedes,False,2021,Abu Dhabi,87.5146,0.052933799999701575
HAM,87.201,34.0,2.0,17.747,37.458,31.996,HARD,Mercedes,False,2021,Abu Dhabi,87.466,0.07332149999970354
HAM,87.591,35.0,2.0,17.721,37.689,32.181,HARD,Mercedes,False,2021,Abu Dhabi,87.49539999999999,0.07602629999970291
HAM,87.591,35.0,2.0,17.721,37.689,32.181,HARD,Mercedes,False,2021,Abu Dhabi,87.46520000000001,0.06196819999970241
HAM,101.467,36.0,2.0,17.702,42.488,41.277,HARD,Mercedes,False,2021,Abu Dhabi,90.2102,39.63663319999978
HAM,101.467,36.0,2.0,17.702,42.488,41.277,HARD,Mercedes,False,2021,Abu Dhabi,93.0634,58.87576079999987
HAM,116.216,37.0,2.0,24.815,49.338,42.063,HARD,Mercedes,False,2021,Abu Dhabi,98.8664,142.2010378
HAM,116.216,37.0,2.0,24.815,49.338,42.063,HARD,Mercedes,False,2021,Abu Dhabi,104.5914,144.70000030000017
HAM,90.157,38.0,2.0,20.798,37.554,31.805,HARD,Mercedes,False,2021,Abu Dhabi,105.10459999999998,124.20535830000016
HAM,90.157,38.0,2.0,20.798,37.554,31.805,HARD,Mercedes,False,2021,Abu Dhabi,102.84259999999999,170.35920630000004
HAM,86.762,39.0,2.0,17.614,37.403,31.745,HARD,Mercedes,False,2021,Abu Dhabi,99.9016,223.72071029999984
HAM,86.762,39.0,2.0,17.614,37.403,31.745,HARD,Mercedes,False,2021,Abu Dhabi,94.01079999999999,156.96616469999947
HAM,87.387,40.0,2.0,17.634,37.484,32.269,HARD,Mercedes,False,2021,Abu Dhabi,88.24499999999999,3.111557499999134
HAM,87.387,40.0,2.0,17.634,37.484,32.269,HARD,Mercedes,False,2021,Abu Dhabi,87.691,1.998017499999103
HAM,86.718,41.0,2.0,17.675,37.365,31.678,HARD,Mercedes,False,2021,Abu Dhabi,87.0032,0.12307469999906603
HAM,86.718,41.0,2.0,17.675,37.365,31.678,HARD,Mercedes,False,2021,Abu Dhabi,86.9944,0.12876829999906564
HAM,86.782,42.0,2.0,17.662,37.532,31.588,HARD,Mercedes,False,2021,Abu Dhabi,86.9984,0.12652429999906661
HAM,86.782,42.0,2.0,17.662,37.532,31.588,HARD,Mercedes,False,2021,Abu Dhabi,86.8774,0.08217779999906409
HAM,86.615,43.0,2.0,17.6,37.29,31.725,HARD,Mercedes,False,2021,Abu Dhabi,86.723,0.0046689999990633425
HAM,86.615,43.0,2.0,17.6,37.29,31.725,HARD,Mercedes,False,2021,Abu Dhabi,86.70239999999998,0.007048299999063486
HAM,87.02,44.0,2.0,17.666,37.535,31.819,HARD,Mercedes,False,2021,Abu Dhabi,86.7628,0.02764469999906324
HAM,87.02,44.0,2.0,17.666,37.535,31.819,HARD,Mercedes,False,2021,Abu Dhabi,86.81039999999999,0.04125829999906292
HAM,86.966,45.0,2.0,17.617,37.334,32.015,HARD,Mercedes,False,2021,Abu Dhabi,86.8472,0.04541669999906259
HAM,86.966,45.0,2.0,17.617,37.334,32.015,HARD,Mercedes,False,2021,Abu Dhabi,86.9174,0.02930579999906202
HAM,87.27,46.0,2.0,17.618,37.341,32.311,HARD,Mercedes,False,2021,Abu Dhabi,87.04839999999999,0.01607479999906119
HAM,87.27,46.0,2.0,17.618,37.341,32.311,HARD,Mercedes,False,2021,Abu Dhabi,87.0984,0.02502479999906109
HAM,87.683,47.0,2.0,17.723,37.4,32.56,HARD,Mercedes,False,2021,Abu Dhabi,87.231,0.08694899999906416
HAM,87.683,47.0,2.0,17.723,37.4,32.56,HARD,Mercedes,False,2021,Abu Dhabi,87.3744,0.09476429999906674
HAM,87.553,48.0,2.0,17.62,37.444,32.489,HARD,Mercedes,False,2021,Abu Dhabi,87.49179999999998,0.0438126999990678
HAM,87.553,48.0,2.0,17.62,37.444,32.489,HARD,Mercedes,False,2021,Abu Dhabi,87.54839999999999,0.028445799999069758
HAM,86.875,49.0,2.0,17.724,37.522,31.629,HARD,Mercedes,False,2021,Abu Dhabi,87.4694,0.11463479999906487
HAM,86.875,49.0,2.0,17.724,37.522,31.629,HARD,Mercedes,False,2021,Abu Dhabi,87.3078,0.1589131999990537
HAM,86.784,50.0,2.0,17.629,37.369,31.786,HARD,Mercedes,False,2021,Abu Dhabi,87.12800000000001,0.1519009999990394
HAM,86.784,50.0,2.0,17.629,37.369,31.786,HARD,Mercedes,False,2021,Abu Dhabi,86.9742,0.10676069999902976
HAM,86.934,51.0,2.0,17.711,37.544,31.679,HARD,Mercedes,False,2021,Abu Dhabi,86.8504,0.004254299999025543
HAM,86.934,51.0,2.0,17.711,37.544,31.679,HARD,Mercedes,False,2021,Abu Dhabi,86.8622,0.005676199999026195
HAM,86.833,52.0,2.0,17.608,37.407,31.818,HARD,Mercedes,False,2021,Abu Dhabi,86.8538,0.005760199999025681
HAM,86.833,52.0,2.0,17.608,37.407,31.818,HARD,Mercedes,False,2021,Abu Dhabi,86.86359999999999,0.004530299999026441
HAM,98.574,53.0,2.0,17.669,37.336,43.569,HARD,Mercedes,False,2021,Abu Dhabi,89.2216,27.336108299999147
HAM,98.574,53.0,2.0,17.669,37.336,43.569,HARD,Mercedes,False,2021,Abu Dhabi,91.54959999999998,41.12019629999923
HAM,142.911,54.0,2.0,20.441,63.942,58.528,HARD,Mercedes,False,2021,Abu Dhabi,102.745,538.6213814999999
HAM,142.911,54.0,2.0,20.441,63.942,58.528,HARD,Mercedes,False,2021,Abu Dhabi,113.9606,721.4132303000006
HAM,145.761,56.0,2.0,30.973,59.223,55.565,HARD,Mercedes,False,2021,Abu Dhabi,125.7462,616.6274607000014
HAM,145.761,56.0,2.0,30.973,59.223,55.565,HARD,Mercedes,False,2021,Abu Dhabi,135.1836,420.8627538000018
HAM,148.331,57.0,2.0,28.439,62.795,57.097,HARD,Mercedes,False,2021,Abu Dhabi,145.135,5.222630000002091
HAM,148.331,57.0,2.0,28.439,62.795,57.097,HARD,Mercedes,False,2021,Abu Dhabi,146.219,5.070870000002136
HAM,89.33,58.0,2.0,17.662,38.725,32.943,HARD,Mercedes,False,2021,Abu Dhabi,135.50279999999998,667.8785562000015
HAM,89.33,58.0,2.0,17.662,38.725,32.943,HARD,Mercedes,False,2021,Abu Dhabi,124.2166,1015.3298663000012
